Dataset,Noise,Depth,Constant Value Bounds,X,f(X),Residual Correlation,Prediction Correlation
Friedman 1,True,3,unfixed,0.38986351299090094,38.61186290229467,0.9785917939466404,0.9897027596063499
Friedman 1,True,100,unfixed,0.1414781646609517,6.966888733707474,0.9976287997882238,0.9974776706305039
Friedman 2,True,3,unfixed,0.1430668008716151,51306.632213242934,0.9976309104853459,0.9892197772090048
Friedman 2,True,100,unfixed,0.03390805586601342,251037.3351355294,0.9904651625307205,0.9659947635925011
Friedman 3,True,3,unfixed,6.200791117299755,2.3482282708478213,0.8083661947321222,0.885102267113238
Friedman 3,True,100,unfixed,7.460764669397572,3.1809795009710293,0.7336985371242123,0.8481505438658699
