Dataset,Noise,Norm,Depth,Constant Value Bounds,X,f(X),Residual Correlation,Prediction Correlation
Friedman 1,True,False,3,unfixed,2.6048224338530073e+00,27.938541726470906,0.969593540868191,0.9924052003626729
Friedman 1,True,False,100,unfixed,0.23034139049691837,2.1902230218223475,0.999068909575462,0.9991193556236316
Friedman 1,True,True,3,unfixed,2.4933198588527747,2.183470856272497,0.9984654489259783,0.9995869186564612
Friedman 1,True,True,100,unfixed,0.12113343304164163,3.114839585005667,0.9992296500021133,0.9991958489533995
Friedman 2,True,False,3,unfixed,40.7272448807508,4014334.0000246763,0.6827069544895205,0.7951898445241407
Friedman 2,True,False,100,unfixed,38.30281709843618,3737739.568099065,0.7054447559176278,0.8030511018805645
Friedman 2,True,True,3,unfixed,2.093707427930664,1.3956969023334977,0.9999999104671429,0.9999999369983561
Friedman 2,True,True,100,unfixed,0.0755056784341679,2758.485557310793,0.9998205090633119,0.9998729442367482
Friedman 3,True,False,3,unfixed,429.8082588758101,11.850214382832851,0.4875059019465089,0.5374266793383625
Friedman 3,True,False,100,unfixed,62.94705797612233,1.5924564629155016,0.8699332174526181,0.9326333689433763
Friedman 3,True,True,3,unfixed,2.094946193479383,7.024214288275885e-07,0.9999999419035307,0.9999999739960281
Friedman 3,True,True,100,unfixed,0.07499180461632601,0.007883629050600565,0.9993840173300337,0.9996885781774405
